sepallength,sepalwidth,petallength,petalwidth,class
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.8,1.4,0.2,Iris-setosa
3.5,3.7,5.8,1.1,Iris-setosa
6.7,3.8,4.2,2.4,Iris-setosa
NA,3.2,3.9,2,Iris-setosa
4,3.1,4.7,3.4,Iris-setosa
6.8,3.9,6,4,Iris-setosa
5.1,3.4,4.9,0.1,Iris-setosa
4.9,3.5,5.9,0.1,Iris-setosa
3.5,3.8,7.9,,Iris-setosa
6.7,3.7,7.9,1,Iris-setosa
NA,3.8,2.4,2,Iris-setosa
4,3.2,2,0.2,Iris-setosa
6.8,3.1,3.4,0.3,Iris-setosa
5.1,3.9,4,0.6,Iris-setosa
4.9,6.8,0.1,2.9,Iris-setosa
3.5,5.1,0.1,4.2,Iris-setosa
6.7,4.9,,3.9,Iris-setosa
NA,3.5,1,4.7,Iris-setosa
4,6.7,2,6,Iris-setosa
6.8,3.8,0.2,4.9,Iris-setosa
5.1,3.2,0.3,5.9,Iris-setosa
4.9,3.1,0.6,7.9,Iris-verginica
3.5,3.9,2.9,7.9,Iris-verginica
6.7,6.8,3.1,2.4,Iris-verginica
5.1,5.1,3.9,2,Iris-verginica
4.9,4.9,3.4,3.4,Iris-verginica
3.5,6.8,3.5,4,Iris-verginica
6.7,5.1,3.8,0.1,Iris-verginica
4.9,4.9,3.7,0.1,Iris-verginica
3.5,3.5,3.8,,Iris-verginica
6.7,6.7,3.2,1,Iris-versicolor
5.1,3.8,3.1,2,Iris-versicolor
4.9,3.2,3.9,0.2,Iris-versicolor
3.5,3.1,6.8,0.3,Iris-versicolor
3.5,3.9,5.1,0.6,Iris-versicolor
6.7,6.8,4.9,0.2,Iris-versicolor
4.9,5.1,3.5,0.2,Iris-versicolor
3.5,3.8,6.7,1.1,Iris-versicolor
6.7,3.2,3.8,2.4,Iris-versicolor
4.9,3.1,3.2,2,Iris-versicolor
3.5,3.9,3.1,3.4,Iris-versicolor
3.5,6.8,3.9,4,Iris-versicolor
6.7,3.2,6.8,0.1,Iris-versicolor
3.5,3.1,5.1,0.1,Iris-versicolor
6.7,3.9,4.9,,Iris-versicolor
4.9,6.8,6.8,1,Iris-versicolor
3.5,5.1,5.1,2,Iris-versicolor
3.5,3.8,4.9,0.2,Iris-versicolor
3.5,3.2,3.5,0.3,Iris-versicolor
6.7,3.1,6.7,0.6,Iris-versicolor
4.9,3.9,3.8,2.9,Iris-versicolor
3.5,3.9,3.2,4.2,Iris-versicolor
3.5,6.8,3.1,3.9,Iris-versicolor
6.7,5.1,3.9,4.7,Iris-versicolor
4.9,3.8,6.8,6,Iris-versicolor
3.5,3.2,5.1,2,Iris-versicolor
3.5,3.1,3.8,0.2,Iris-versicolor
3.5,3.9,3.2,0.3,Iris-versicolor
6.7,3.4,3.1,0.6,Iris-versicolor
