area,perimeter,compactness,lengthof_kernel,widthof_kernel,asym_coeff,lok_grovee,weight
16.19,15.05,0.66,3.564,2.434,2.333,3.5788,1
13.34,15.04,0.34,3.478,2.345,3.456,2.567,1
23.1,15.98,0.8867,3.234,2.123,3.912,2.871,1
12.45,13.05,0.9876,3.456,2.567,3.943,2.189,1
12.47,14.07,0.3456,3.912,2.871,3.279,2.95,1
13.47,0.784,0.456,3.943,2.189,3.564,2.345,1
13,11.05,0.342,3.279,2.95,3.478,2.123,1
14.36,11.07,0.213,3.564,2.345,NA,NA,1
14.48,11.67,0.349,3.478,2.123,3.279,2.345,1
12.07,11.57,0.489,3.234,2.567,3.564,2.123,1
11.05,13.36,0.589,3.456,2.871,3.478,2.567,1
11.07,25.67,0.695,3.912,2.189,3.456,2.871,1
11.67,23,0.512,3.943,2.95,3.912,2.189,1
11.57,16.19,0.341,3.279,2.567,3.943,2.95,1
13.36,13.34,0.409,3.478,2.871,3.279,2.345,1
25.67,23.1,0.305,3.234,2.189,3.564,2.123,1
23,12.45,0.507,3.456,2.95,3.478,2.567,1
16.19,12.47,0.59,3.912,2.345,NA,2.871,1
13.34,13.47,0.8867,3.943,2.123,3.279,2.189,1
23.1,13,0.9876,3.279,2.567,3.564,2.95,1
15.98,14.36,0.3456,3.564,2.871,3.478,2.567,1
13.05,14.48,0.456,3.478,NA,3.978,2.871,1
14.07,15.05,0.342,3.234,2.002,2.065,2.189,1
12.07,15.04,0.213,3.456,3.978,2.095,2.95,1
11.05,15.98,0.349,3.912,2.065,2.567,2.345,1
11.07,13.05,0.489,3.943,2.095,2.871,2.123,1
11.67,14.07,0.589,3.478,2.567,2.567,2.567,1
11.57,12.07,0.695,3.234,2.871,2.871,2.871,1
13.36,11.05,0.512,3.456,2.189,2.189,NA,1
25.67,11.07,0.3456,3.912,2.95,2.95,2.002,1
23,11.67,0.456,3.943,2.345,2.567,2.065,1
16.19,11.57,0.342,3.279,2.123,2.871,2.095,1
13.34,13.36,0.213,3.564,2.567,2.189,2.567,1
23.1,25.67,0.349,3.478,2.871,2.95,2.871,1
12.45,23,0.489,3.234,NA,2.345,2.567,1
12.47,16.19,0.589,3.456,2.002,3.456,2.871,1
13.47,13.34,0.695,3.912,3.978,3.912,2.189,1
13,23.1,0.512,3.943,2.065,3.943,2.95,1
14.36,12.45,0.695,3.478,2.095,3.279,2.567,1
14.48,12.47,0.512,3.234,2.123,3.564,2.871,1
13.34,13.47,0.3456,3.456,2.567,3.478,2.189,1
23.1,13,0.456,3.912,2.871,NA,2.95,1
12.45,14.36,0.342,3.943,2.189,3.279,2.345,1
12.47,11.57,0.213,3.478,2.95,3.564,3.456,1
13.47,13.36,0.349,3.234,2.345,3.478,2.567,1
13,25.67,0.489,3.456,2.123,3.456,2.871,1
14.36,23,0.695,3.912,2.567,3.912,2.189,1
14.48,16.19,0.512,3.943,2.871,3.943,2.95,1
12.07,13.34,0.3456,3.279,2.189,3.279,2.345,1
11.05,23.1,0.456,3.564,2.95,3.564,2.123,1
11.07,12.45,0.342,3.478,2.567,3.478,2.567,1
11.67,12.47,0.213,NA,2.871,NA,2.871,1
11.57,13.47,0.349,3.478,2.189,3.279,NA,1
13.36,13,0.489,3.234,2.95,3.564,2.002,1
25.67,14.36,0.349,3.456,2.345,3.478,2.065,1
NA,23.1,0.489,3.912,2.123,3.978,2.095,1
16.19,12.45,0.695,3.943,2.567,2.065,2.567,1
13.34,12.47,0.512,3.279,2.871,2.095,2.871,1
23.1,13.47,0.3456,3.564,NA,2.567,2.567,1
15.98,13,0.456,3.478,2.002,2.871,2.871,1
13.05,14.36,0.342,3.456,3.978,2.567,2.189,1
14.07,NA,NA,3.912,2.065,2.871,2.95,1
12.07,NA,0.213,3.943,2.095,2.189,2.567,1
11.05,15.98,0.213,3.279,2.567,2.95,2.871,1
11.07,13.05,0.349,3.564,2.871,2.567,2.189,1
13.34,14.07,0.489,3.478,2.189,2.871,2.95,1
NA,12.07,0.589,NA,2.95,2.189,2.567,1
12.45,11.05,0.695,3.478,2.345,2.95,2.871,1
12.47,11.07,0.512,3.234,2.123,3.564,2.189,1
13.47,13.34,0.341,3.456,2.567,3.478,2.95,1
13,NA,0.409,3.912,2.871,3.978,2.345,1
14.36,12.45,0.305,3.456,NA,2.065,2.123,1
14.48,12.47,0.507,3.912,2.002,2.095,2.567,1
12.07,13.47,0.59,3.943,3.978,2.567,2.871,1
11.05,13,0.8867,3.478,2.065,2.871,NA,1
11.07,23.1,0.9876,3.234,2.123,2.567,2.002,1
11.67,12.45,0.3456,3.456,2.567,2.871,2.065,1
11.57,12.47,0.456,3.912,2.871,2.189,2.095,1
13.36,13.47,0.342,3.943,2.189,2.95,2.567,1
25.67,13,0.213,3.478,2.95,2.567,2.871,1
23,14.36,0.349,3.234,2.345,2.871,2.567,1
16.19,23.1,0.489,3.456,2.123,2.189,2.871,1
13.34,12.45,0.589,3.912,2.567,2.95,2.189,1
23.1,12.47,0.589,3.943,2.871,2.345,2.95,1
15.98,13.47,0.695,3.279,2.189,3.456,2.567,1
13.05,13,0.512,3.564,2.95,3.912,2.871,1
14.07,14.36,0.341,3.478,2.567,3.943,2.189,1
12.07,NA,0.409,NA,2.871,3.279,2.95,1
11.05,NA,0.305,3.478,2.189,3.564,2.567,1
11.07,15.98,0.507,3.234,2.95,3.478,2.871,1
13.34,13.05,0.59,3.456,2.345,NA,2.189,1
23.1,14.07,0.8867,3.912,2.123,3.279,2.95,1
12.45,12.07,0.9876,3.943,2.567,3.564,2.345,1
12.47,11.05,0.3456,3.279,2.871,3.478,2.123,1
13.47,11.07,0.456,3.456,NA,3.456,2.567,1
13,13.34,0.342,3.912,2.002,3.912,2.871,1
14.36,NA,0.213,3.943,3.978,3.943,NA,1
14.48,12.45,0.349,3.478,2.065,3.279,2.002,1
12.07,12.47,0.489,3.234,2.095,3.564,2.065,1
11.05,13.47,0.589,3.456,2.567,3.478,2.095,1
11.07,13,0.342,3.912,2.871,NA,2.567,1
11.67,13.05,0.213,3.943,2.189,3.279,2.871,1
11.57,14.07,0.349,3.478,2.95,3.564,2.567,1
13.36,12.07,0.489,3.234,2.345,3.478,2.871,1
25.67,11.05,0.589,3.456,2.123,3.978,2.189,1
23,11.07,0.342,3.912,2.567,2.065,2.95,1
16.19,13.34,0.213,3.943,2.871,2.095,2.567,1
13.34,11.67,0.349,3.279,NA,2.567,2.871,1
23.1,11.57,0.489,3.564,2.002,2.871,2.189,1
15.98,13.36,0.589,3.478,3.978,2.567,2.95,1
13.05,25.67,0.342,NA,2.065,2.871,2.567,1
14.07,23,0.213,3.478,2.123,2.189,2.871,1
12.07,14.07,0.349,3.234,2.567,2.95,2.189,1
11.05,12.07,0.489,3.456,2.871,2.567,2.95,1
11.07,11.05,0.589,3.912,2.189,2.871,2.345,1
