fixed-acidity,volatileacidity,citric-acid,residual sugar,cholorides,freesulphurdioxide,totalsulphurdioxide,density,ph,sulphate,alcohol,quality
7.12,0.9,0.34,0.6,0.9,0.2,0.11,3,3,0.5,0.8,1
7.24,0.2,0.29,0.7,0.6,0.3,0.22,3,6,0.5,0.5,1
7.97,0.5,0.21,0.3,0.4,NA,0.32,2,2,0.4,0.9,1
7.32,0.7,0.36,0.5,0.8,0.3,0.21,3,2,0.7,0.1,1
7.43,0.9,0.39,0.6,0.29,0.2,0.45,3,2,0.8,0.4,1
7.78,0.5,0.48,0.4,0.21,0.3,0.67,3,2,0.8,0.6,1
7.45,0.4,0.38,0.8,0.36,0.2,0.89,3,2,0.6,0.7,1
6.9,0.2,0.21,0.8,0.39,0.2,0.36,3,2,0.4,0.56,1
7.01,0.1,0.29,0.8,0.48,0.2,0.38,3,2,0.3,0.35,1
7.02,0.9,0.28,0.9,0.34,0.9,0.28,0.9,0.34,0.28,0.9,1
9,0.8,0.38,0.2,0.29,0.8,0.38,0.2,0.29,0.38,0.2,1
6.89,0.8,0.67,0.5,0.21,0.8,0.67,0.5,0.21,0.67,0.5,1
5.98,0.9,0.45,0.7,0.36,0.9,0.45,0.7,0.36,0.45,0.7,1
7.38,0.4,0.89,0.9,0.39,0.4,0.89,0.9,0.39,0.89,0.9,1
3.48,0.6,0.35,0.5,0.48,0.6,0.35,0.5,0.48,0.35,0.5,1
4.78,0.6,0.29,0.4,0.38,0.9,0.28,0.9,0.34,0.5,0.21,1
9.6,0.4,0.21,0.2,0.21,0.8,0.38,0.2,0.29,0.7,0.36,1
7.58,0.8,0.36,0.1,0.29,0.8,0.67,0.5,0.21,0.9,0.39,1
7.35,0.8,0.39,0.9,0.28,0.9,0.45,0.7,0.36,0.5,0.48,1
7.67,0.8,0.48,0.8,0.38,0.4,0.89,0.9,0.39,0.9,0.34,1
7.92,0.9,0.34,0.8,0.67,0.6,0.35,0.5,0.48,0.2,0.29,1
7.24,0.2,0.29,0.9,0.45,0.6,0.29,0.4,0.38,0.5,0.21,1
7.97,0.5,0.21,0.4,0.89,0.4,0.21,0.2,0.21,0.7,0.36,1
7.32,0.7,0.36,0.6,0.35,0.8,0.36,0.1,0.29,0.9,0.39,1
7.43,0.9,0.39,0.2,0.36,3,2,0.9,0.28,0.5,0.48,1
7.78,0.5,0.48,0.2,0.38,3,2,0.8,0.38,0.4,0.38,1
7.45,0.4,0.38,0.9,0.28,0.9,0.34,0.8,0.67,0.2,0.21,1
6.9,0.2,0.21,0.8,0.38,0.2,0.29,0.9,0.45,0.1,0.29,1
7.01,0.1,0.29,0.8,0.67,0.5,0.21,0.4,0.89,0.9,0.28,1
7.02,0.9,0.28,0.9,0.45,0.7,0.36,0.6,0.35,0.8,0.38,1
9,0.8,0.38,0.4,0.89,0.9,0.39,0.67,0.6,0.9,0.39,1
6.89,0.8,0.67,0.6,0.35,0.5,0.48,0.45,0.6,0.5,0.48,1
5.98,0.9,0.45,0.9,0.28,0.9,0.34,0.89,0.4,0.4,0.38,1
